Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,일루넥스,"(주)일루넥스 인공지능, 빅데이터 분석 경력 채용","[경기 고양시 덕양구, 경력 3~10년, 대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53047043&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집","[서울 강남구, 경력무관, 대졸↑, 인턴직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52663804&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)엔틀,주)엔틀 에너지경영사업팀 데이터 분석 담당 채용(대구/서울),"[서울 성동구, 신입·경력, 초대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52712802&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,나이스지니데이타주식회사,[NICE 지니데이타] 스마트팩토리/제조 분야 데이터 가공 분석,"[서울 영등포구, 경력2년↑, 대졸↑, 계약직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52711782&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,코리아크레딧뷰로(주),코리아크레딧뷰로(주) 데이터분석 및 운영 업무(계약직),"[서울 영등포구, 경력무관, 대졸↑, 기간제·계약직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53090327&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,코리아밸리(유),[정규직/본사근무] 광고 마케터 / 데이터분석 운영 담당자 모집,"[서울 중구, 경력무관, 고졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53129845&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)스르르,[온라인MD] NUVN에서 성과/데이터 분석형 MD 채용,"[서울 마포구, 경력무관, 학력무관, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53115242&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)이노션,[이노션] 데이터 분석 운영(GA4 Specialist) (계약직),"[서울 강남구, 경력1년↑, 대졸↑, 계약직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53121104&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)에이치알비즈코리아,"데이터 분석( SQL, Python, R) MMORPG 모바일/세계적게임사","[경기 성남시 분당구, 경력 1~9년, 대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53103806&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,주식회사 지니어스,[대기업계열사/마케팅에이전시] 디지털 데이터 분석가,"[서울 강남구, 경력 5~10년, 대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53098552&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
